Medicine Name,Condition,Reviews,Ratings,Date,Upvotes
Tretinoin topical,Acne,"Stieva-A (tretinoin):			“Before trying this product I honestly lost all hope, I tried everything. Then my doctor prescribed me Stieva-A and after about a month my skin instantly cleared up, I couldn’t believe it actually worked for me. It’s even helped to slowly fade my acne scars, my face hasn’t felt this smooth in a while, also a bonus is when I apply makeup now, it’s sooooo smooth. I just got a second refill on this product because I love it so much and want to use it for a year and see how much it can help my scars fade. Also a little bit goes along way which is nice !",8,24-Apr-20,13
Tretinoin topical,Acne,"Retin-A (tretinoin):			“When I was 5 weeks into using this topical Retin-A I headed to the internet to figure out why my acne was 5 times WORSE than when I started it. I would honesty just look in the mirror and cry, I picked at all my pimples and it made it even worse. The purge is real but If you can make it past it I promise it’s worth it. Do some research on why the purge happens. I am 10 weeks in and all that I have on my face is scaring due to the picking which will go away over time and with the help of other topicals. My advice is to stick with it, do not pick and trust the process!",8,22-Apr-20,24
Tretinoin topical,Acne,"Retin-A (tretinoin):			“I have acne-prone skin and started having acne 12-ish. I have done extensively research on effective medication and found Retin-A. I introduced RetinA to my skin, really slowly by applying for 5, 10, 20, 30, 60, 90 and 120min and washing it off before my normal routine for 1week each (2min for 1week, 5min for 1week & go on). Then I started apply it overnight as my last step (moisturizer 30min then RetinA 0.025) from 1night/week to every other night then every night. I am on my 8th week of using RetinA every night as my last step. I am going to use it before moisturizer in week10. Gradually introduce RetinA to my skin made the purging bearable (slowly purging) and subsided those side effects. I still have red scars but much smoother texture, little bumpy. I am still breaking out but expecting. Complexion is improving. Skin is brighten and glowing. Skin is more balance, not oily, not dry. I am on month2 and happy with my skin, not perfect, much better. RetinA is worth your patience.",10,17-Apr-20,14
Tretinoin topical,Acne,I’m 2 weeks in and it’s getting worse and I don’t want to put it on anymore.,1,27-Feb-20,6
Tretinoin topical,Acne,"It's been 3 weeks using tretinoin cream and my acne is almost gone, I had a huge pimple size of a quarter and it is almost gone.",10,25-Feb-20,8
Tretinoin topical,Acne,"Retin A Micro (tretinoin):			“I’ve been using Retin A Micro for about 4 months now. In the first week of use I experienced dry flaking skin. If any area was super irritated I put aquafor on it was healed over night. The first 2-5 weeks my skin broke out worse than before I started using, however the pimples were smaller than usual and would clear up quickly. Weeks 6-7 my skin looked like it was finally clearing up with the exception of two stubborn areas. Those areas didn’t improve in this time but didn’t get worse. Weeks 8-10 my the two problem areas cleared up almost completely but unfortunately I was left with hyperpigmentation. I had minor breakouts on my chin. Weeks 10-12 breakouts stopped. No more purging. Skin clear with the exception of blackheads on nose and chin. Weeks 13-16 still have the blackheads although they seem to be dissipating. Skin texture feels AWESOME. Still have the hyperpigmentation on my cheeks. All in all I LOVE this stuff.",10,19-Feb-20,21
Tretinoin topical,Acne,"Retin-A (tretinoin):			“this was the worst experience of my life. It made my face break out and I had big red dry patches on my face that burned so bad. I still have red scars from those spots that I didn’t have before. do not use this , I suggest accutane I have done that before also",1,16-Feb-20,16
Tretinoin topical,Acne,"Retin-A (tretinoin):			“19 years old , 8 weeks completed today , used Retin A .025 (every night) along with doxy forte tablet (2 times a day), worked like a miracle!!, 1st month was a  really tough time but now my face is so much smooth and clean then before , very light marks are still there ,hope they vanish soon,MUST USE and BE PATIENT.",10,15-Feb-20,17
Tretinoin topical,Acne,"Retin-A (tretinoin):			“RetinA is just an awesome cream.  There is side effect also like peeling of skin and drying of skin, but it recovers with moisturizer.  I  applied moisturizer on face at day time in night before sleeping I use this cream on pimples in very little amount . I'm applying this from 1 month ago and it's really working on my pimples my pimples get reduced and my dark spot also get lighten. It's taking time so you have to be patient and you have to apply on face where you feel like that pimples are coming also but their no need to worry it recover new pimples also and treated whole face with pimpels it's remove pimples very easily.  I love this retin a cream and it's working on my face very nicely.",9,11-Feb-20,12
Tretinoin topical,Acne,"I am about to hit 2 months since I started using tretinion, I still have acne but it was so, so, so, so much better than before I started using it, maybe I’ll do an update again when I hit three months",9,10-Feb-20,9
Tretinoin topical,Acne,"I have been struggling with some adult acne, nothing to severe but some white heads, mostly blackheads. Decided to try trentinoin after OTC washes, scrubs, you name it did not work. Omg, My whole face broke out in huge painful white heads and my skin started peeling. I only used it twice a week to start and still it was so horrible I had to stop using it. Not sure how people make it through the ""purge"" phase.",1,10-Feb-20,6
Tretinoin topical,Acne,"Retin-A (tretinoin):			“I am 51 years old and after years of remission had a recurrence of acne. I took Accutane when I was in my late twenties. The oiliness of my skin has not abated with age so I researched possible treatments and decided to try Retin A. Dr prescribed .05% and I started using it. After about a month of use my skin was very irritated and I experienced a worsening of my acne. I continued to use and changed my skincare routine by using cetaphil to wash my face and cerave moisturizer spf 30 in the am and cerave pm at night. Also had to buy a foundation for normal/dry skin.  As of now I have no new pimples and scars are gradually fading. More than satisfied with this treatment.",9,7-Feb-20,13
Tretinoin topical,Acne,"Retin-A (tretinoin):			“Okay, been on Retin A since early November. Prescribed by my primary care physician prior to seeing a dermatologist. When I first began, I started using the gel two times a week. Making sure to always wash off in the morning and use sunscreen throughout the day.  I was afraid of the purging period which THANK GOD, I never had. It almost felt like the medication wasn't working. I had no burning or stinging sensations just minor peeling which was not bad AT ALL. This could be because I am on the lowest dosage (0.025). I upped my usage to three times a week and keep using despite ""feeling like anything was working"". Fast forward to today, three months later and my skin is sooooooo smooth. I still have fading dark marks but they are significantly lighter. I have ZERO ACTIVE ACNE bumps. Smooth skin and very shiny. I am a 25 y/o African American female and THIS PRODUCT IS GREAT. Patience is KEY!!!!!",9,1-Feb-20,36
Tretinoin topical,Acne,I am 36 years old. I have been using this cream on and off for more than 10 years. And my skin looks amazing. I don't have any acne and it glows. I am on 0.025 right now and I never break out and my skin never gets dry. 0.05 was a bit too strong for me and my skin would peel. This is a miracle cream and I love the fact that it is so cheap,10,27-Jan-20,11
Tretinoin topical,Acne,"Retin-A (tretinoin):			“had adult acne, Retin-A cured it",10,20-Jan-20,14
